Phrase ^ Count
saith the lord  ^ 731
the churches  ^ 15
himself and  ^ 15
honor and  ^ 15
for now  ^ 15
therefore the  ^ 15
god is  ^ 15
there is no  ^ 15
and power  ^ 15
of whom  ^ 15
to you  ^ 15
ye not that  ^ 15
until the  ^ 15
wife and  ^ 15
of the holy  ^ 15
god but  ^ 15
and heard  ^ 15
of the father  ^ 15
us for  ^ 15
ye know not  ^ 15
the promise  ^ 15
unto death  ^ 15
all the kings  ^ 15
for the king  ^ 15
after other  ^ 15
the days of his life  ^ 15
all the house  ^ 15
of this people  ^ 15
of israel came  ^ 15
and spoke unto  ^ 15
in this place  ^ 15
and twenty years  ^ 15
israel with  ^ 15
whom i  ^ 15
of all the earth  ^ 15
in the law  ^ 15
unto him thus  ^ 15
into the city  ^ 15
in jerusalem and his mothers  ^ 15
and honor  ^ 15
returned unto  ^ 15
throughout all the land  ^ 15
they also  ^ 15
unto the priest  ^ 15
of the living god  ^ 15
was upon  ^ 15
of israel saith  ^ 15
shall come upon  ^ 15
knew that  ^ 15
and peace from  ^ 15
unto thee  ^ 15
year of his reign  ^ 15
that which was right in the sight  ^ 15
to hezekiah  ^ 15
to make an atonement for  ^ 15
the son of shaphan  ^ 15
king of persia  ^ 15
and the glory of the lord  ^ 15
the lord thus  ^ 15
the captain of the guard  ^ 15
simon peter  ^ 15
all the men  ^ 15
james and  ^ 15
john and  ^ 15
the midst of the  ^ 15
the men  ^ 15
him from  ^ 15
and as he  ^ 15
their eyes  ^ 15
and the people  ^ 15
o house of israel  ^ 15
unto the house of israel  ^ 15
the lord unto  ^ 15
and for  ^ 15
of the whole earth  ^ 15
six days  ^ 15
and the priest shall take  ^ 15
unto them i  ^ 15
and pharaoh said  ^ 15
shekels after the shekel  ^ 15
the west side  ^ 15
this is the law  ^ 15
the book  ^ 15
i am with  ^ 15
and the third  ^ 15
answered them  ^ 15
of my father  ^ 15
then saith  ^ 15
saying master  ^ 15
and joshua said  ^ 15
the four  ^ 15
came unto him  ^ 15
after their families by the house  ^ 15
bullock one  ^ 15
to the chief musician upon  ^ 15
a song of degrees  ^ 15
after other gods  ^ 15
saith the lord the god  ^ 15
of the chronicles of the kings of judah  ^ 15
of jeroboam the son of nebat  ^ 15
and say thus saith  ^ 15
in jerusalem and his mothers name  ^ 15
that which was right in the sight of the lord  ^ 15
the scribes and  ^ 15
in that day saith  ^ 15
in the kingdom  ^ 15
and the children of israel did  ^ 15
shekels after the shekel of the sanctuary  ^ 15
the lord god because  ^ 15
lived after he begot  ^ 15
bullock one ram  ^ 15
and with all  ^ 14
the elders of israel  ^ 14
twenty and two  ^ 14
three months  ^ 14
said unto all  ^ 14
three years  ^ 14
for it is  ^ 14
were twenty and four  ^ 14
thousand of  ^ 14
the kings sons  ^ 14
unto jerusalem  ^ 14
judah and jerusalem  ^ 14
in the land of judah  ^ 14
me not  ^ 14
unto the end  ^ 14
some of them  ^ 14
if i  ^ 14
and drink  ^ 14
bread and  ^ 14
his head  ^ 14
ye know that  ^ 14
which also  ^ 14
your faith  ^ 14
third day  ^ 14
that we  ^ 14
nothing but  ^ 14
in his heart  ^ 14
for your  ^ 14
the altar  ^ 14
us from  ^ 14
not his  ^ 14
him because  ^ 14
in himself  ^ 14
of the son  ^ 14
water and  ^ 14
the king and said  ^ 14
of david his father  ^ 14
but not  ^ 14
with the lord  ^ 14
and the rest of the acts  ^ 14
his fathers and was buried  ^ 14
of the lord saying  ^ 14
that the word of the lord  ^ 14
he did are they  ^ 14
for ye  ^ 14
unto his servants  ^ 14
came out of  ^ 14
did as  ^ 14
go with  ^ 14
the four corners  ^ 14
of israel and  ^ 14
them all  ^ 14
in the days  ^ 14
house of god  ^ 14
of the gentiles  ^ 14
my son  ^ 14
upon his head  ^ 14
what shall i do  ^ 14
fell on  ^ 14
called unto  ^ 14
day that  ^ 14
with the edge of the sword  ^ 14
departed from  ^ 14
who is this  ^ 14
that night  ^ 14
and he went  ^ 14
word of the  ^ 14
kingdom and  ^ 14
them in  ^ 14
for every  ^ 14
the fear of the lord  ^ 14
and three thousand  ^ 14
that are with  ^ 14
the son of joash  ^ 14
and went into  ^ 14
into the hand of the king  ^ 14
day of the first month  ^ 14
of the king of assyria  ^ 14
his face  ^ 14
by faith  ^ 14
for the children of israel  ^ 14
unto him what  ^ 14
unto him all  ^ 14
the place which  ^ 14
said lord  ^ 14
on the seventh day  ^ 14
place where  ^ 14
and there were  ^ 14
in that  ^ 14
in thy  ^ 14
men and  ^ 14
for he is  ^ 14
and mary  ^ 14
in jerusalem  ^ 14
hour and  ^ 14
the soldiers  ^ 14
and went  ^ 14
after that  ^ 14
the words  ^ 14
and they came  ^ 14
them not  ^ 14
that he was  ^ 14
jesus of nazareth  ^ 14
the chief captain  ^ 14
saw him  ^ 14
and as they  ^ 14
and say  ^ 14
feet and  ^ 14
the mount  ^ 14
and the angel  ^ 14
way and  ^ 14
thee saith the lord  ^ 14
the day of the lord  ^ 14
and the father  ^ 14
meshach and abednego  ^ 14
the land whither  ^ 14
and joshua the son  ^ 14
all the firstborn  ^ 14
and put it upon  ^ 14
that i am  ^ 14
to enter into  ^ 14
of the lords house  ^ 14
you saith the lord  ^ 14
unto me son  ^ 14
thousand and four  ^ 14
say unto him  ^ 14
the sheep  ^ 14
said unto her  ^ 14
i say unto thee  ^ 14
sepulcher and  ^ 14
your father  ^ 14
out of his  ^ 14
of a sweet savor  ^ 14
year for a burnt offering  ^ 14
with oil for a meat offering  ^ 14
his clothes and bathe  ^ 14
one kid  ^ 14
with them and  ^ 14
and upward all  ^ 14
thousand and six hundred  ^ 14
over all israel  ^ 14
and this is  ^ 14
with his fathers and was buried  ^ 14
of the lord which he spoke  ^ 14
and the king said unto  ^ 14
before the children of israel  ^ 14
he did are they not  ^ 14
of israel said unto  ^ 14
him thus saith the lord  ^ 14
of israel thus saith  ^ 14
cried unto the lord  ^ 14
the people that were with  ^ 14
the word of the  ^ 14
to jerusalem and  ^ 14
all that the lord  ^ 14
unto the door of the tabernacle  ^ 14
unto me son of man  ^ 14
thousand and four hundred  ^ 14
his disciples and  ^ 14
jesus saith unto him  ^ 14
scribes and pharisees  ^ 14
of the first year for a burnt offering  ^ 14
mingled with oil for a meat offering  ^ 14
one kid of the goats  ^ 14
after their families by the house of their fathers  ^ 14
old and upward all  ^ 14
young bullock one  ^ 14
mighty men of valor  ^ 13
and seven hundred  ^ 13
and seven thousand  ^ 13
as moses  ^ 13
be the lord god  ^ 13
of god then  ^ 13
and said who  ^ 13
that were  ^ 13
talents of silver  ^ 13
and all the host  ^ 13
stood by  ^ 13
an altar unto the lord  ^ 13
the sons of aaron  ^ 13
of the sons  ^ 13
and i will be  ^ 13
before all  ^ 13
the son of david  ^ 13
they are written in  ^ 13
ten thousand  ^ 13
moses the servant  ^ 13
and bore a son  ^ 13
them for  ^ 13
nine hundred  ^ 13
the cross  ^ 13
but we  ^ 13
peace from  ^ 13
but of  ^ 13
you by  ^ 13
my god  ^ 13
the coming  ^ 13
jesus the  ^ 13
and have  ^ 13
of the saints  ^ 13
all flesh  ^ 13
i also  ^ 13
the fire  ^ 13
and she  ^ 13
likewise also  ^ 13
in darkness  ^ 13
is true  ^ 13
that whosoever  ^ 13
and these  ^ 13
unto king  ^ 13
and king solomon  ^ 13
and all the vessels  ^ 13
pharaoh king  ^ 13
of israel because  ^ 13
the lord his god  ^ 13
that the king  ^ 13
and unto all  ^ 13
nor drink  ^ 13
all the evil  ^ 13
after these  ^ 13
and she said unto  ^ 13
three times  ^ 13
to me  ^ 13
and said lord  ^ 13
unto him and said  ^ 13
do so  ^ 13
two men  ^ 13
unto him why  ^ 13
said who  ^ 13
as it is this day  ^ 13
king of the amorites  ^ 13
kings of the earth  ^ 13
shall be with  ^ 13
that it was  ^ 13
tables of stone  ^ 13
which i have given  ^ 13
it for  ^ 13
in the sight of god  ^ 13
grace in thy sight  ^ 13
what is this  ^ 13
day for  ^ 13
the lord hath said  ^ 13
shall know that  ^ 13
the men of war  ^ 13
at the door of the tabernacle  ^ 13
at his feet  ^ 13
until the morning  ^ 13
saying who  ^ 13
the hand of the lord  ^ 13
if ye  ^ 13
and ye shall be  ^ 13
and when they were come  ^ 13
in our  ^ 13
and to  ^ 13
who also  ^ 13
them that  ^ 13
evil against  ^ 13
they are written in the book  ^ 13
and thirty years  ^ 13
the son of amoz  ^ 13
they could not  ^ 13
christ the  ^ 13
even unto this day  ^ 13
joy and  ^ 13
saints and  ^ 13
and her  ^ 13
who made  ^ 13
and five thousand  ^ 13
of josiah king  ^ 13
according to the commandment  ^ 13
he and all  ^ 13
gedaliah the son  ^ 13
and entered into  ^ 13
unto the woman  ^ 13
unto them ye  ^ 13
the lord had commanded  ^ 13
me the  ^ 13
of jesus and  ^ 13
the number  ^ 13
but peter  ^ 13
then peter  ^ 13
then answered  ^ 13
prison and  ^ 13
follow me  ^ 13
of the law  ^ 13
of the prophets  ^ 13
and laid  ^ 13
many of the  ^ 13
the synagogues  ^ 13
and paul  ^ 13
and earth  ^ 13
and on  ^ 13
and took  ^ 13
the scriptures  ^ 13
the resurrection  ^ 13
and he came  ^ 13
of them and  ^ 13
great and  ^ 13
name of the lord  ^ 13
him into  ^ 13
me and i  ^ 13
certain of the  ^ 13
before thee  ^ 13
i said  ^ 13
and lo  ^ 13
go unto  ^ 13
for there is  ^ 13
and was  ^ 13
and the disciples  ^ 13
then said the lord  ^ 13
them saith the lord  ^ 13
shadrach meshach  ^ 13
nebuchadnezzar the king  ^ 13
the lord swore  ^ 13
the earth for  ^ 13
and one of  ^ 13
for the day  ^ 13
soul shall be cut off  ^ 13
and moses took  ^ 13
aaron saying  ^ 13
moreover the word of the lord  ^ 13
the lord have spoken  ^ 13
from the east side  ^ 13
and two the children  ^ 13
the son of aaron  ^ 13
and joseph said  ^ 13
on earth  ^ 13
even the  ^ 13
jeremiah from  ^ 13
they said unto him  ^ 13
the feast  ^ 13
unto him master  ^ 13
his lord  ^ 13
disciples came  ^ 13
but whosoever  ^ 13
unto his disciples  ^ 13
of aaron the priest  ^ 13
unto the angel  ^ 13
one lamb  ^ 13
ye shall do no  ^ 13
devils and  ^ 13
the baptist  ^ 13
in the midst of the  ^ 13
all that were able to go forth  ^ 13
that were able to go forth to war  ^ 13
know ye not that  ^ 13
this is my  ^ 13
our lord jesus  ^ 13
jesus christ and  ^ 13
pharaoh king of egypt  ^ 13
and all israel with  ^ 13
years in jerusalem and his mothers  ^ 13
all the children of israel  ^ 13
the son of josiah king  ^ 13
gedaliah the son of ahikam  ^ 13
that came to  ^ 13
james and john  ^ 13
earth and the  ^ 13
the city and  ^ 13
into the kingdom  ^ 13
the elders and  ^ 13
chief priests and the  ^ 13
shadrach meshach and abednego  ^ 13
which the lord your god  ^ 13
before the lord thy god  ^ 13
and joshua the son of nun  ^ 13
said unto joshua  ^ 13
that the lord commanded  ^ 13
moreover the word of the lord came  ^ 13
as i live saith  ^ 13
that i the lord  ^ 13
jeremiah from the lord  ^ 13
jesus answered and  ^ 13
and the pharisees  ^ 13
my father and  ^ 13
the king of the  ^ 13
of a sweet savor unto the lord  ^ 13
jesus answering said  ^ 13
and upward all that were able to go forth  ^ 13
all that were able to go forth to war  ^ 13
the children of benjamin  ^ 12
the children of judah  ^ 12
and the anger of the lord  ^ 12
of the lord was kindled  ^ 12
messengers to  ^ 12
perceived that  ^ 12
lo i  ^ 12
the day that  ^ 12
against the children  ^ 12
to joab  ^ 12
from the people  ^ 12
said this  ^ 12
the son of ner  ^ 12
on this side jordan  ^ 12
the lord had said  ^ 12
because thou  ^ 12
behold they are written  ^ 12
by the hand  ^ 12
and the children of gad  ^ 12
the son of manasseh  ^ 12
amen paul  ^ 12
god that  ^ 12
christ our  ^ 12
god our  ^ 12
for in  ^ 12
again the  ^ 12
of christ and  ^ 12
by the spirit  ^ 12
have not  ^ 12
that all  ^ 12
saith the  ^ 12
of the twelve  ^ 12
that your  ^ 12
you with  ^ 12
fire and  ^ 12
this world  ^ 12
and who  ^ 12
for we are  ^ 12
in every  ^ 12
in love  ^ 12
or of  ^ 12
and have not  ^ 12
god in  ^ 12
his brethren  ^ 12
but this  ^ 12
from all  ^ 12
also for  ^ 12
light and  ^ 12
do not  ^ 12
knoweth not  ^ 12
his eyes  ^ 12
and love  ^ 12
for his  ^ 12
god hath given  ^ 12
that ye may know  ^ 12
my lord o king  ^ 12
and now behold  ^ 12
went to  ^ 12
there was no  ^ 12
every male  ^ 12
that is before  ^ 12
people that  ^ 12
the people for  ^ 12
in the cities of judah  ^ 12
so did  ^ 12
which came  ^ 12
and he said i  ^ 12
place for  ^ 12
unto the man  ^ 12
land which  ^ 12
every green  ^ 12
his fathers in the city  ^ 12
in the eyes of the lord  ^ 12
and two years  ^ 12
with whom  ^ 12
and said o lord  ^ 12
thou sayest  ^ 12
may know that  ^ 12
and said to  ^ 12
and he said what  ^ 12
saith the king  ^ 12
they came to  ^ 12
the lord because  ^ 12
in one day  ^ 12
in the fourth year  ^ 12
he also  ^ 12
among the children  ^ 12
cubits broad  ^ 12
the glory of the lord  ^ 12
which thou gavest  ^ 12
the good  ^ 12
man that  ^ 12
for there  ^ 12
upon them  ^ 12
word of the lord  ^ 12
christ for  ^ 12
into heaven  ^ 12
in the faith  ^ 12
of the lord and the lord  ^ 12
and it came to pass on the morrow  ^ 12
not the lord  ^ 12
went with  ^ 12
said unto him behold  ^ 12
you the  ^ 12
unto you for  ^ 12
grace of our  ^ 12
of the truth  ^ 12
the mystery  ^ 12
know not  ^ 12
the living god  ^ 12
the gift  ^ 12
every good  ^ 12
the word and  ^ 12
took him  ^ 12
and the inhabitants of jerusalem  ^ 12
praise the lord  ^ 12
a covenant with  ^ 12
unto other gods  ^ 12
and the god  ^ 12
me this  ^ 12
children and  ^ 12
this also  ^ 12
children of israel  ^ 12
the heavens  ^ 12
made israel  ^ 12
shekels of silver  ^ 12
which i commanded  ^ 12
whom the king  ^ 12
and all the inhabitants  ^ 12
go to  ^ 12
years and  ^ 12
unto my lord  ^ 12
is this that  ^ 12
and looked and behold  ^ 12
eight hundred  ^ 12
the way and  ^ 12
of thee  ^ 12
in thee  ^ 12
thee for  ^ 12
go into  ^ 12
the mother  ^ 12
place and  ^ 12
it is not  ^ 12
all thy  ^ 12
the prison  ^ 12
and he was  ^ 12
went into  ^ 12
gentiles and  ^ 12
his father  ^ 12
unto him the  ^ 12
there and  ^ 12
and others  ^ 12
of my  ^ 12
ship and  ^ 12
besought him  ^ 12
to me and  ^ 12
the ground  ^ 12
ground and  ^ 12
the council  ^ 12
there shall be no  ^ 12
and shall not  ^ 12
the hour  ^ 12
unto abraham  ^ 12
kings of the  ^ 12
and scribes  ^ 12
by what  ^ 12
that were with him  ^ 12
or what  ^ 12
arise and  ^ 12
galilee and  ^ 12
works and  ^ 12
the god of heaven  ^ 12
spoke and said  ^ 12
by the river  ^ 12
which i swore  ^ 12
whither thou  ^ 12
unto balaam  ^ 12
shall say amen  ^ 12
in this book  ^ 12
and moses spoke  ^ 12
what the  ^ 12
thy father  ^ 12
a holy convocation  ^ 12
hundred and thirty  ^ 12
into the wilderness  ^ 12
unto his brethren  ^ 12
or two  ^ 12
the other side  ^ 12
aaron and his sons  ^ 12
which is upon  ^ 12
an offering made by fire unto the lord  ^ 12
unto him if  ^ 12
ye say  ^ 12
moses and unto  ^ 12
shall be desolate  ^ 12
for every one  ^ 12
in the land of the living  ^ 12
and by the border  ^ 12
hundred twenty  ^ 12
out of the temple  ^ 12
are the  ^ 12
the two  ^ 12
to his  ^ 12
and jacob said  ^ 12
unto jacob  ^ 12
unto him thou  ^ 12
his hand upon  ^ 12
and all the days  ^ 12
beast and  ^ 12
blessed is the man  ^ 12
the son of kareah  ^ 12
the lamb  ^ 12
to jesus  ^ 12
and when jesus  ^ 12
the angels  ^ 12
these sayings  ^ 12
the bridegroom  ^ 12
unto the lord and said  ^ 12
shall wash his clothes  ^ 12
and if any man  ^ 12
of the beast  ^ 12
this generation  ^ 12
and he spake  ^ 12
for i say  ^ 12
in the synagogues  ^ 12
of their fathers according to the number  ^ 12
according to the number of the names  ^ 12
to war those that were numbered  ^ 12
those that were numbered of them even of the tribe  ^ 12
and his host and those that were numbered  ^ 12
the continual burnt offering  ^ 12
silver bowl  ^ 12
bowl of seventy  ^ 12
of seventy shekels  ^ 12
of the sanctuary both  ^ 12
silver charger  ^ 12
for a meat offering one  ^ 12
of incense one  ^ 12
ram one  ^ 12
lamb of the first  ^ 12
for a burnt offering one  ^ 12
for a sin offering and for a sacrifice  ^ 12
five lambs  ^ 12
year this  ^ 12
this was the offering  ^ 12
and for a sacrifice of peace offerings  ^ 12
of peace offerings two  ^ 12
two oxen  ^ 12
oxen five  ^ 12
five rams  ^ 12
rams five  ^ 12
five he goats  ^ 12
he goats five  ^ 12
the third part  ^ 12
were sealed twelve  ^ 12
blessed be the lord god  ^ 12
and david said to  ^ 12
were twenty and four thousand  ^ 12
our father and  ^ 12
for if the  ^ 12
not of the  ^ 12
the law and  ^ 12
the apostles and  ^ 12
for this is  ^ 12
that the word of the lord came  ^ 12
and the king of israel said  ^ 12
unto the land which  ^ 12
from the dead and  ^ 12
said unto the people  ^ 12
knew not that  ^ 12
the lord jesus christ  ^ 12
him in the  ^ 12
unto moses and unto  ^ 12
the lord god of hosts  ^ 12
of josiah king of judah  ^ 12
but he answered  ^ 12
by the house of their fathers according to the number  ^ 12
of their fathers according to the number of the names  ^ 12
that were able to go forth to war those that were numbered  ^ 12
to war those that were numbered of them even of the tribe  ^ 12
silver bowl of seventy  ^ 12
bowl of seventy shekels  ^ 12
of seventy shekels after the shekel  ^ 12
after the shekel of the sanctuary both  ^ 12
with oil for a meat offering one  ^ 12
of incense one young  ^ 12
one ram one  ^ 12
ram one lamb  ^ 12
one lamb of the first  ^ 12
lamb of the first year  ^ 12
year for a burnt offering one  ^ 12
for a burnt offering one kid  ^ 12
of the goats for a sin offering and for a sacrifice  ^ 12
he goats five lambs  ^ 12
five lambs of the first  ^ 12
of the first year this  ^ 12
year this was the offering  ^ 12
for a sin offering and for a sacrifice of peace offerings  ^ 12
and for a sacrifice of peace offerings two  ^ 12
of peace offerings two oxen  ^ 12
two oxen five  ^ 12
oxen five rams  ^ 12
five rams five  ^ 12
rams five he goats  ^ 12
five he goats five  ^ 12
were sealed twelve thousand  ^ 12
the son of jesse  ^ 11
on the morrow  ^ 11
