Phrase ^ Count
saith the lord  ^ 731
likewise also  ^ 13
in darkness  ^ 13
is true  ^ 13
that whosoever  ^ 13
and these  ^ 13
unto king  ^ 13
and king solomon  ^ 13
pharaoh king  ^ 13
of israel because  ^ 13
with the lord  ^ 13
the lord his god  ^ 13
that the king  ^ 13
nor drink  ^ 13
all the evil  ^ 13
after these  ^ 13
and she said unto  ^ 13
three times  ^ 13
to me  ^ 13
unto him and said  ^ 13
do so  ^ 13
two men  ^ 13
out of the city  ^ 13
said who  ^ 13
as it is this day  ^ 13
king of the amorites  ^ 13
shall be with  ^ 13
the four corners  ^ 13
that it was  ^ 13
tables of stone  ^ 13
which i have given  ^ 13
it for  ^ 13
in the sight of god  ^ 13
of the gentiles  ^ 13
grace in thy sight  ^ 13
day for  ^ 13
for the people  ^ 13
the lord hath said  ^ 13
shall know that  ^ 13
the men of war  ^ 13
and the lord  ^ 13
until the morning  ^ 13
saying who  ^ 13
and he went  ^ 13
if ye  ^ 13
in our  ^ 13
and to  ^ 13
who also  ^ 13
them that  ^ 13
evil against  ^ 13
the son of amoz  ^ 13
christ the  ^ 13
joy and  ^ 13
saints and  ^ 13
and her  ^ 13
who made  ^ 13
and five thousand  ^ 13
unto him what  ^ 13
of josiah king  ^ 13
gedaliah the son  ^ 13
unto the woman  ^ 13
to the house  ^ 13
the lord had commanded  ^ 13
me the  ^ 13
of jesus and  ^ 13
the number  ^ 13
but peter  ^ 13
then peter  ^ 13
then answered  ^ 13
prison and  ^ 13
follow me  ^ 13
of the prophets  ^ 13
and laid  ^ 13
but when the  ^ 13
the synagogues  ^ 13
and paul  ^ 13
and earth  ^ 13
of the pharisees  ^ 13
and on  ^ 13
and took  ^ 13
and they came  ^ 13
the scriptures  ^ 13
the resurrection  ^ 13
and he came  ^ 13
that he was  ^ 13
great and  ^ 13
him into  ^ 13
before thee  ^ 13
i said  ^ 13
and lo  ^ 13
go unto  ^ 13
for there is  ^ 13
and was  ^ 13
then said the lord  ^ 13
them saith the lord  ^ 13
shadrach meshach  ^ 13
nebuchadnezzar the king  ^ 13
the lord swore  ^ 13
the land whither  ^ 13
soul shall be cut off  ^ 13
and moses took  ^ 13
aaron saying  ^ 13
moreover the word of the lord  ^ 13
the lord have spoken  ^ 13
from the east side  ^ 13
and two the children  ^ 13
the son of aaron  ^ 13
i am with  ^ 13
and joseph said  ^ 13
on earth  ^ 13
even the  ^ 13
jeremiah from  ^ 13
the feast  ^ 13
his lord  ^ 13
of his disciples  ^ 13
disciples came  ^ 13
but whosoever  ^ 13
of aaron the priest  ^ 13
one lamb  ^ 13
ye shall do no  ^ 13
devils and  ^ 13
the baptist  ^ 13
all that were able to go forth  ^ 13
that were able to go forth to war  ^ 13
these were the sons  ^ 12
the children of benjamin  ^ 12
the children of judah  ^ 12
and the anger of the lord  ^ 12
of the lord was kindled  ^ 12
messengers to  ^ 12
perceived that  ^ 12
lo i  ^ 12
the day that  ^ 12
against the children  ^ 12
to joab  ^ 12
said this  ^ 12
of the sons  ^ 12
the son of ner  ^ 12
on this side jordan  ^ 12
the lord had said  ^ 12
because thou  ^ 12
the son of david  ^ 12
on the throne  ^ 12
behold they are written  ^ 12
by the hand  ^ 12
and the children of gad  ^ 12
the son of manasseh  ^ 12
amen paul  ^ 12
god that  ^ 12
christ our  ^ 12
after the flesh  ^ 12
god our  ^ 12
for in  ^ 12
again the  ^ 12
have not  ^ 12
that all  ^ 12
saith the  ^ 12
that your  ^ 12
you with  ^ 12
fire and  ^ 12
this world  ^ 12
and who  ^ 12
in every  ^ 12
in love  ^ 12
or of  ^ 12
god in  ^ 12
his brethren  ^ 12
but this  ^ 12
from all  ^ 12
also for  ^ 12
light and  ^ 12
do not  ^ 12
knoweth not  ^ 12
his eyes  ^ 12
and love  ^ 12
for his  ^ 12
god hath given  ^ 12
that ye may know  ^ 12
of the son  ^ 12
my lord o king  ^ 12
went to  ^ 12
there was no  ^ 12
every male  ^ 12
that is before  ^ 12
people that  ^ 12
in the cities of judah  ^ 12
so did  ^ 12
which came  ^ 12
and he said i  ^ 12
place for  ^ 12
unto the man  ^ 12
land which  ^ 12
every green  ^ 12
his fathers in the city  ^ 12
in the eyes of the lord  ^ 12
and two years  ^ 12
with whom  ^ 12
thou sayest  ^ 12
may know that  ^ 12
and said to  ^ 12
and he said what  ^ 12
saith the king  ^ 12
they came to  ^ 12
the lord because  ^ 12
unto him why  ^ 12
in the fourth year  ^ 12
he also  ^ 12
among the children  ^ 12
cubits broad  ^ 12
which thou gavest  ^ 12
the good  ^ 12
man that  ^ 12
for there  ^ 12
upon them  ^ 12
the dead and  ^ 12
in the day  ^ 12
christ for  ^ 12
into heaven  ^ 12
at the door of the tabernacle  ^ 12
went with  ^ 12
the hand of the lord  ^ 12
and ye shall be  ^ 12
you the  ^ 12
grace of our  ^ 12
the mystery  ^ 12
know not  ^ 12
the gift  ^ 12
every good  ^ 12
took him  ^ 12
and came unto  ^ 12
and the inhabitants of jerusalem  ^ 12
a covenant with  ^ 12
and thirty years  ^ 12
they could not  ^ 12
me this  ^ 12
children and  ^ 12
this also  ^ 12
children of israel  ^ 12
the heavens  ^ 12
made israel  ^ 12
shekels of silver  ^ 12
which i commanded  ^ 12
whom the king  ^ 12
unto him all  ^ 12
and all the inhabitants  ^ 12
according to the commandment  ^ 12
he and all  ^ 12
go to  ^ 12
years and  ^ 12
unto my lord  ^ 12
and looked and behold  ^ 12
eight hundred  ^ 12
of thee  ^ 12
in thee  ^ 12
thee for  ^ 12
go into  ^ 12
the mother  ^ 12
place and  ^ 12
all thy  ^ 12
unto them saying  ^ 12
the prison  ^ 12
went into  ^ 12
of the law  ^ 12
gentiles and  ^ 12
his father  ^ 12
there and  ^ 12
and others  ^ 12
of them and  ^ 12
of my  ^ 12
jesus of nazareth  ^ 12
ship and  ^ 12
besought him  ^ 12
the ground  ^ 12
ground and  ^ 12
the council  ^ 12
there shall be no  ^ 12
and shall not  ^ 12
the hour  ^ 12
unto abraham  ^ 12
kings of the  ^ 12
and scribes  ^ 12
by what  ^ 12
or what  ^ 12
arise and  ^ 12
galilee and  ^ 12
works and  ^ 12
the day of the lord  ^ 12
spoke and said  ^ 12
by the river  ^ 12
which i swore  ^ 12
whither thou  ^ 12
unto balaam  ^ 12
shall say amen  ^ 12
and moses spoke  ^ 12
for the day  ^ 12
the sabbath day  ^ 12
what the  ^ 12
thy father  ^ 12
a holy convocation  ^ 12
hundred and thirty  ^ 12
unto his brethren  ^ 12
or two  ^ 12
the other side  ^ 12
aaron and his sons  ^ 12
which is upon  ^ 12
an offering made by fire unto the lord  ^ 12
unto him if  ^ 12
ye say  ^ 12
moses and unto  ^ 12
shall be desolate  ^ 12
in the land of the living  ^ 12
and by the border  ^ 12
hundred twenty  ^ 12
are the  ^ 12
the two  ^ 12
to his  ^ 12
and jacob said  ^ 12
unto jacob  ^ 12
his hand upon  ^ 12
and all the days  ^ 12
beast and  ^ 12
blessed is the man  ^ 12
the son of kareah  ^ 12
the lamb  ^ 12
to jesus  ^ 12
the angels  ^ 12
these sayings  ^ 12
said unto her  ^ 12
the bridegroom  ^ 12
shall wash his clothes  ^ 12
of the beast  ^ 12
this generation  ^ 12
and he spake  ^ 12
for i say  ^ 12
of their fathers according to the number  ^ 12
according to the number of the names  ^ 12
to war those that were numbered  ^ 12
those that were numbered of them even of the tribe  ^ 12
and his host and those that were numbered  ^ 12
the continual burnt offering  ^ 12
silver bowl  ^ 12
bowl of seventy  ^ 12
of seventy shekels  ^ 12
of the sanctuary both  ^ 12
silver charger  ^ 12
for a meat offering one  ^ 12
of incense one  ^ 12
ram one  ^ 12
lamb of the first  ^ 12
for a burnt offering one  ^ 12
for a sin offering and for a sacrifice  ^ 12
five lambs  ^ 12
year this  ^ 12
this was the offering  ^ 12
and for a sacrifice of peace offerings  ^ 12
of peace offerings two  ^ 12
two oxen  ^ 12
oxen five  ^ 12
five rams  ^ 12
rams five  ^ 12
five he goats  ^ 12
he goats five  ^ 12
the third part  ^ 12
were sealed twelve  ^ 12
the son of jesse  ^ 11
and the lord thy god  ^ 11
thousand and seven  ^ 11
three thousand  ^ 11
to this  ^ 11
as god  ^ 11
of israel unto  ^ 11
moses commanded  ^ 11
which he commanded  ^ 11
of god then  ^ 11
and said who  ^ 11
saying why  ^ 11
the silver and the gold  ^ 11
and benaiah the son  ^ 11
before israel  ^ 11
prince of the children  ^ 11
with this  ^ 11
all the princes  ^ 11
to seek the lord  ^ 11
and six thousand  ^ 11
of the house of their fathers  ^ 11
his course were twenty  ^ 11
of the lord all  ^ 11
of all israel  ^ 11
bless the lord  ^ 11
and three years  ^ 11
the son of hilkiah  ^ 11
and she called his name  ^ 11
name of jesus  ^ 11
of god is  ^ 11
by jesus  ^ 11
say unto you  ^ 11
glory of god  ^ 11
christ but  ^ 11
to eat and  ^ 11
and glory  ^ 11
one and  ^ 11
whole body  ^ 11
of christ and  ^ 11
yea and  ^ 11
in peace  ^ 11
i will not  ^ 11
by his  ^ 11
for they are  ^ 11
for we are  ^ 11
for though  ^ 11
me is  ^ 11
for even  ^ 11
which are  ^ 11
brother and  ^ 11
with her  ^ 11
many and  ^ 11
gospel of christ  ^ 11
and barnabas  ^ 11
or who  ^ 11
of the father  ^ 11
eyes and  ^ 11
will of god  ^ 11
ye know not  ^ 11
truth and  ^ 11
before him  ^ 11
love of god  ^ 11
not because  ^ 11
heart and  ^ 11
and whatsoever  ^ 11
how can  ^ 11
blood and  ^ 11
talked with  ^ 11
that was  ^ 11
and all the vessels  ^ 11
thy god which  ^ 11
men with  ^ 11
of nebat who  ^ 11
and unto all  ^ 11
came and told  ^ 11
bread nor  ^ 11
green tree  ^ 11
all judah  ^ 11
in the second year  ^ 11
israel to sin  ^ 11
and said o lord  ^ 11
fear the lord  ^ 11
i go  ^ 11
and it came to pass at the end  ^ 11
of the vineyard  ^ 11
of the lord his god  ^ 11
of the house  ^ 11
and twenty cubits  ^ 11
was five cubits  ^ 11
the glory of the lord  ^ 11
them the  ^ 11
voice saying  ^ 11
through faith  ^ 11
to whom  ^ 11
evil for  ^ 11
through jesus  ^ 11
his glory  ^ 11
upon you  ^ 11
unto his  ^ 11
of the lord and the lord  ^ 11
spoke to  ^ 11
and it came to pass on the morrow  ^ 11
behold this  ^ 11
lord for  ^ 11
into the camp  ^ 11
that the children  ^ 11
even unto this  ^ 11
and timothy  ^ 11
night and  ^ 11
the lord and  ^ 11
for when  ^ 11
pursued after  ^ 11
and all judah  ^ 11
praise the lord  ^ 11
of judah and jerusalem  ^ 11
of judah saying  ^ 11
and went into  ^ 11
was there  ^ 11
their hands upon  ^ 11
the kingdoms of the earth  ^ 11
you into  ^ 11
the governor  ^ 11
and wonders  ^ 11
of myself  ^ 11
come down from  ^ 11
unto them if  ^ 11
they know not  ^ 11
again unto  ^ 11
of nebuchadnezzar king  ^ 11
days journey  ^ 11
into all  ^ 11
saying when  ^ 11
and he said behold  ^ 11
unto them ye  ^ 11
against them  ^ 11
not hearken  ^ 11
thing that  ^ 11
when he was come  ^ 11
when they were come  ^ 11
mouth and  ^ 11
for he is  ^ 11
at that  ^ 11
it is not  ^ 11
of the air  ^ 11
and go  ^ 11
and certain  ^ 11
ye know  ^ 11
before me  ^ 11
from galilee  ^ 11
on them  ^ 11
him unto  ^ 11
the kings  ^ 11
not worthy  ^ 11
the next  ^ 11
their hearts  ^ 11
the sabbath  ^ 11
unto him and  ^ 11
after these things  ^ 11
see and  ^ 11
whom ye  ^ 11
i speak  ^ 11
me and i  ^ 11
the one  ^ 11
high priest and  ^ 11
the wind  ^ 11
thee but  ^ 11
thy name  ^ 11
weeping and  ^ 11
shall fall by the sword  ^ 11
upon every  ^ 11
the god of heaven  ^ 11
because i  ^ 11
which is called  ^ 11
of this law  ^ 11
the word which  ^ 11
amen cursed  ^ 11
the people shall say  ^ 11
which he swore  ^ 11
and unto aaron  ^ 11
for every one  ^ 11
the mountains of israel  ^ 11
shall no more  ^ 11
year without blemish  ^ 11
side unto  ^ 11
unto the west  ^ 11
one gate  ^ 11
unto him thou  ^ 11
of all flesh  ^ 11
over the  ^ 11
and cried  ^ 11
and when jesus  ^ 11
true and  ^ 11
thy brother  ^ 11
unto him master  ^ 11
of galilee and  ^ 11
on me  ^ 11
of the high priest  ^ 11
unto them verily  ^ 11
of the sea  ^ 11
eleazar the priest  ^ 11
and the priest shall burn  ^ 11
two young  ^ 11
and bathe himself in water  ^ 11
thou shalt not uncover  ^ 11
servile work  ^ 11
no servile  ^ 11
but i say  ^ 11
synagogues and  ^ 11
and give  ^ 11
john the  ^ 11
after him repaired  ^ 11
of the names from twenty  ^ 11
by their generations after their families  ^ 11
and eleazar the priest  ^ 11
beside the continual  ^ 11
was one silver  ^ 11
and thirty shekels  one  ^ 11
shekels  one silver  ^ 11
spoon of ten  ^ 11
both of them full  ^ 11
of them full of fine flour  ^ 11
of ten shekels  full  ^ 11
shekels  full of incense  ^ 11
for the sons of korah  ^ 11
of the lamb  ^ 11
with david  ^ 10
behold he  ^ 10
made a covenant  ^ 10
of the lord by  ^ 10
mighty men of valor  ^ 10
four thousand  ^ 10
into the house  ^ 10
whose name  ^ 10
of israel and the children  ^ 10
the sons of merari  ^ 10
sing unto the lord  ^ 10
for great  ^ 10
unto the lord for  ^ 10
before the tabernacle  ^ 10
whom god  ^ 10
reigned over  ^ 10
thousand footmen  ^ 10
and the people that  ^ 10
the captain of the host  ^ 10
and the children of ammon  ^ 10
david and said  ^ 10
or three  ^ 10
from the people  ^ 10
for the house of the lord  ^ 10
to build a house  ^ 10
year of the reign  ^ 10
and the half tribe  ^ 10
and in his course  ^ 10
the river euphrates  ^ 10
the sons of levi  ^ 10
of the children of benjamin  ^ 10
of the children of simeon  ^ 10
the book of the kings  ^ 10
mind and  ^ 10
righteousness and  ^ 10
under the  ^ 10
i would not  ^ 10
brethren that  ^ 10
my body  ^ 10
the new  ^ 10
man is  ^ 10
one of them  ^ 10
much more  ^ 10
that no man  ^ 10
my spirit  ^ 10
say that  ^ 10
now if  ^ 10
our sins  ^ 10
the work  ^ 10
concerning the  ^ 10
let no man  ^ 10
christ be with  ^ 10
came not  ^ 10
and walk  ^ 10
or in  ^ 10
the lord therefore  ^ 10
we also  ^ 10
that one  ^ 10
of the flesh  ^ 10
and unto the  ^ 10
christ by  ^ 10
and do  ^ 10
not all  ^ 10
whole world  ^ 10
which ye  ^ 10
that when  ^ 10
according to his  ^ 10
the king and the king  ^ 10
the sound of the trumpet  ^ 10
said if  ^ 10
sheep and oxen  ^ 10
did evil  ^ 10
to fight against  ^ 10
every high  ^ 10
his fathers and they buried  ^ 10
joshua the son  ^ 10
and elijah said  ^ 10
and said lord  ^ 10
days and forty  ^ 10
and forty nights  ^ 10
the king for  ^ 10
not after  ^ 10
and said thus  ^ 10
in one day  ^ 10
by the way  ^ 10
give me  ^ 10
unto the elders  ^ 10
the kings son  ^ 10
that it  ^ 10
the son of ahab  ^ 10
that his father  ^ 10
thousand and three  ^ 10
then hear thou  ^ 10
thousand sheep  ^ 10
the foundation of the world  ^ 10
what is this  ^ 10
thee what  ^ 10
now therefore  ^ 10
the lord will not  ^ 10
to saul  ^ 10
then came the word  ^ 10
of the lord thus  ^ 10
messengers unto  ^ 10
said i  ^ 10
arose and went  ^ 10
not the lord  ^ 10
words unto  ^ 10
chosen men  ^ 10
and day  ^ 10
for good  ^ 10
which is before  ^ 10
men that  ^ 10
men which  ^ 10
among the children of israel  ^ 10
the wrath  ^ 10
of the holy ghost  ^ 10
from you  ^ 10
is come upon  ^ 10
is in christ  ^ 10
good works  ^ 10
for three  ^ 10
god of your fathers  ^ 10
this is the thing  ^ 10
and the lord delivered  ^ 10
the priests and the levites  ^ 10
and he did that which was right  ^ 10
the temple of the lord  ^ 10
of the lord according to all  ^ 10
not into  ^ 10
unto other gods  ^ 10
cubits long  ^ 10
the men that  ^ 10
words which  ^ 10
for my  ^ 10
where the  ^ 10
and unto  ^ 10
of the lord said  ^ 10
unto them go  ^ 10
their sons and their daughters  ^ 10
behold i will send  ^ 10
innocent blood  ^ 10
went unto  ^ 10
upon the wall  ^ 10
unto his father  ^ 10
the lord as  ^ 10
not thou  ^ 10
cried with a loud  ^ 10
the lord liveth  ^ 10
thee all  ^ 10
more than  ^ 10
moses so  ^ 10
but after  ^ 10
and james  ^ 10
and simon  ^ 10
men and brethren  ^ 10
for he was  ^ 10
out of their  ^ 10
and a certain  ^ 10
and there came  ^ 10
saying unto him  ^ 10
with the holy ghost  ^ 10
and he commanded  ^ 10
some of  ^ 10
that time  ^ 10
and sidon  ^ 10
he saith unto him  ^ 10
them into  ^ 10
that his  ^ 10
i do  ^ 10
far from  ^ 10
with thee  ^ 10
to the law  ^ 10
twelve and  ^ 10
his voice  ^ 10
my right hand  ^ 10
and began  ^ 10
same day  ^ 10
him when  ^ 10
the first day  ^ 10
earth for  ^ 10
who art  ^ 10
nation and  ^ 10
him of  ^ 10
me then  ^ 10
again and  ^ 10
the stone  ^ 10
and put  ^ 10
that were with him  ^ 10
against moses  ^ 10
and come  ^ 10
the great  ^ 10
of hosts is his name  ^ 10
of the king  ^ 10
out of the midst of the fire  ^ 10
thou goest  ^ 10
that floweth with milk  ^ 10
and on the seventh day  ^ 10
is the thing which  ^ 10
and all his people  ^ 10
or if  ^ 10
to heaven  ^ 10
i give  ^ 10
out of heaven  ^ 10
upon the children  ^ 10
shall be upon  ^ 10
upon for  ^ 10
and mother  ^ 10
the blood upon  ^ 10
of the lord appeared  ^ 10
at even  ^ 10
sockets under  ^ 10
and scarlet and fine twined linen  ^ 10
and aaron and his sons  ^ 10
the horns of the altar  ^ 10
the service of the tabernacle  ^ 10
this shall be  ^ 10
mine hand upon  ^ 10
my people and i  ^ 10
the souls that  ^ 10
forty and five  ^ 10
for fear  ^ 10
man for  ^ 10
his angels  ^ 10
and in that day  ^ 10
of the daughter of my people  ^ 10
that shall not  ^ 10
thy works  ^ 10
jeremiah saying  ^ 10
the son of neriah  ^ 10
after me  ^ 10
saith unto her  ^ 10
thy son  ^ 10
the servants  ^ 10
mary magdalene  ^ 10
loaves and  ^ 10
into a mountain  ^ 10
this is the inheritance  ^ 10
unto the angel  ^ 10
himself in water and be unclean  ^ 10
convocation ye shall do  ^ 10
but woe  ^ 10
nations and  ^ 10
prophet saying  ^ 10
and next unto  ^ 10
hundred of the children  ^ 10
his offering was one  ^ 10
one golden  ^ 10
golden spoon  ^ 10
ye the lord praise  ^ 10
two sons  ^ 9
that saul  ^ 9
not drink  ^ 9
over my people  ^ 9
twenty and eight  ^ 9
a hundred and twenty  ^ 9
day saying  ^ 9
gathered all  ^ 9
of that place  ^ 9
and david took  ^ 9
that he hath done  ^ 9
give unto the lord  ^ 9
thy people israel  ^ 9
judgment and justice  ^ 9
the son of ahitub  ^ 9
for i will not  ^ 9
there an altar  ^ 9
answered the lord  ^ 9
the law of the lord  ^ 9
talents of gold  ^ 9
of the lord and all  ^ 9
of the tribes of israel  ^ 9
forever for  ^ 9
the lord hath given  ^ 9
as at this day  ^ 9
god of abraham  ^ 9
and all the princes  ^ 9
first and last  ^ 9
hundred and threescore  ^ 9
two hundred and fifty  ^ 9
in mount ephraim  ^ 9
of machir the son  ^ 9
of the children of manasseh  ^ 9
the son of eleazar  ^ 9
the son of ammihud  ^ 9
the will of god  ^ 9
i beseech you  ^ 9
now this  ^ 9
the wisdom  ^ 9
the testimony  ^ 9
the cup  ^ 9
one day  ^ 9
but for  ^ 9
this do  ^ 9
and blood  ^ 9
the rest  ^ 9
for by  ^ 9
every one  ^ 9
i have no  ^ 9
